
Sweet corn | 0.86 | -1 | 13 | 4.3 | 0.86 | 132
Pumpkin puree | 0.26 | -1 | 3.9 | 1.3 | 0.26 | 83
Beef (cooked, lean) | 2.5 | 250 | -1 | -1 | -1 | -1
Chicken breast (cooked) | 1.65 | 165 | -1 | -1 | -1 | -1
Chicken thigh (cooked) | 2.09 | 209 | -1 | -1 | -1 | -1
Turkey breast (cooked) | 1.35 | 135 | -1 | -1 | -1 | -1
Pork chop (cooked) | 2.42 | 242 | -1 | -1 | -1 | -1
Ground beef (85% lean) | 2.5 | -1 | -1 | -1 | -1 | -1
Lamb (cooked) | 2.94 | -1 | -1 | -1 | -1 | -1
Bacon | 5.4 | 43 | -1 | -1 | -1 | -1
Ham (cooked) | 1.45 | 113 | -1 | -1 | -1 | -1
Sausage (pork) | 3.2 | 200 | -1 | -1 | -1 | -1
Tuna (canned in water) | 1.16 | 100 | -1 | -1 | -1 | -1
Salmon (cooked) | 2.08 | 208 | -1 | -1 | -1 | -1
Shrimp (cooked) | 1.0 | 84 | -1 | -1 | -1 | -1
Cod (cooked) | 1.05 | 105 | -1 | -1 | -1 | -1
Sardines (in oil) | 2.08 | 208 | -1 | -1 | -1 | -1
Cottage cheese (4%) | 0.98 | -1 | 14.7 | 4.9 | 0.98 | 220
Ricotta cheese (whole) | 1.74 | -1 | 26.1 | 8.7 | 1.74 | 428
Feta cheese | 2.64 | -1 | 39.6 | 13.2 | 2.64 | 625
Sour cream (full fat) | 1.93 | -1 | 29 | 9.7 | 1.93 | 462
Whipped cream | 3.45 | -1 | 52 | 17 | 3.45 | 820
Ice cream (vanilla) | 2.01 | -1 | 30 | 10 | 2.01 | 267
Cashews | 5.53 | 157 | -1 | -1 | -1 | -1
Pistachios | 5.56 | 156 | -1 | -1 | -1 | -1
Hazelnuts | 6.29 | 178 | -1 | -1 | -1 | -1
Macadamia nuts | 7.18 | 204 | -1 | -1 | -1 | -1
Sunflower seeds | 5.84 | -1 | 88 | 29 | 5.84 | 820
Pumpkin seeds | 5.74 | -1 | 86 | 29 | 5.74 | 790
Chia seeds | 4.86 | -1 | 73 | 24 | 4.86 | 760
Flaxseeds | 5.34 | -1 | 80 | 27 | 5.34 | 790
Sesame seeds | 5.7 | -1 | 86 | 29 | 5.7 | 820
Molasses | 2.9 | -1 | 61 | 20 | 2.9 | 918
Agave syrup | 3.1 | -1 | 62 | 21 | 3.1 | 930
Stevia (liquid) | 0 | -1 | 0 | 0 | 0 | 0
Cornmeal | 3.65 | -1 | 55 | 18.3 | 3.65 | 612
Arrowroot powder | 3.06 | -1 | 46 | 15.3 | 3.06 | 490
Tapioca starch | 3.58 | -1 | 54 | 18 | 3.58 | 600
Gelatin (dry) | 3.41 | -1 | 51 | 17 | 3.41 | 580
Cream of tartar | 1.85 | -1 | 27.8 | 9.3 | 1.85 | 325
Cinnamon (ground) | 2.47 | -1 | 37 | 12.3 | 2.47 | 590
Nutmeg (ground) | 5.25 | -1 | 78 | 26 | 5.25 | 1260
Ginger (ground) | 3.35 | -1 | 50 | 16.7 | 3.35 | 670
Turmeric | 3.12 | -1 | 47 | 15.7 | 3.12 | 650
Black pepper | 2.55 | -1 | 38 | 12.7 | 2.55 | 612
Paprika | 2.82 | -1 | 42 | 14 | 2.82 | 670
Curry powder | 3.25 | -1 | 49 | 16.3 | 3.25 | 740
Oregano (dried) | 2.65 | -1 | 39 | 13 | 2.65 | 590
Basil (dried) | 2.52 | -1 | 38 | 12.7 | 2.52 | 570
Parsley (dried) | 2.76 | -1 | 41 | 13.7 | 2.76 | 660
Lemon juice | 0.22 | -1 | 3.3 | 1.1 | 0.22 | 53
Lime juice | 0.25 | -1 | 3.75 | 1.25 | 0.25 | 60
Orange juice | 0.45 | -1 | 6.75 | 2.25 | 0.45 | 105
Apple cider vinegar | 0.22 | -1 | 3.3 | 1.1 | 0.22 | 52
Worcestershire sauce | 0.65 | -1 | 10 | 3.3 | 0.65 | 140
Hot sauce | 0.25 | -1 | 4 | 1.3 | 0.25 | 55
BBQ sauce | 1.18 | -1 | 29 | 9.6 | 1.18 | 265
Soy milk | 0.54 | -1 | 8.1 | 2.7 | 0.54 | 131
Almond milk | 0.15 | -1 | 2.3 | 0.8 | 0.15 | 38
Coconut milk | 1.97 | -1 | 30 | 10 | 1.97 | 450
Oat milk | 0.44 | -1 | 6.6 | 2.2 | 0.44 | 105
Strawberries | 0.32 | 4 | -1 | -1 | -1 | -1
Blueberries | 0.57 | 84 | -1 | -1 | -1 | -1
Raspberries | 0.52 | 65 | -1 | -1 | -1 | -1
Blackberries | 0.43 | 62 | -1 | -1 | -1 | -1
Grapes | 0.69 | 62 | -1 | -1 | -1 | -1
Pineapple | 0.5 | 82 | -1 | -1 | -1 | -1
Watermelon | 0.3 | 86 | -1 | -1 | -1 | -1
Mango | 0.6 | 99 | -1 | -1 | -1 | -1
Avocado | 1.6 | 240 | -1 | -1 | -1 | -1
Dates (Medjool) | 2.77 | 66 | -1 | -1 | -1 | -1
Figs (dried) | 2.49 | 47 | -1 | -1 | -1 | -1
Plums | 0.46 | 30 | -1 | -1 | -1 | -1
Apricots (dried) | 2.41 | 48 | -1 | -1 | -1 | -1
Black beans (cooked) | 1.32 | -1 | 20 | 6.7 | 1.32 | 227
Chickpeas (cooked) | 1.64 | -1 | 24.6 | 8.2 | 1.64 | 268
Lentils (cooked) | 1.16 | -1 | 17.4 | 5.8 | 1.16 | 230
Kidney beans (cooked) | 1.13 | -1 | 17 | 5.7 | 1.13 | 215
Navy beans (cooked) | 1.4 | -1 | 21 | 7 | 1.4 | 260
Edamame (cooked) | 1.2 | -1 | 18 | 6 | 1.2 | 200
Tofu (firm) | 0.76 | 94 | -1 | -1 | -1 | -1
Tempeh | 1.92 | 192 | -1 | -1 | -1 | -1
Seitan | 1.1 | 120 | -1 | -1 | -1 | -1
Quinoa (cooked) | 1.2 | -1 | 18 | 6 | 1.2 | 222
Buckwheat flour | 3.43 | -1 | 52 | 17.3 | 3.43 | 550
Almond flour | 5.7 | -1 | 86 | 29 | 5.7 | 960
Coconut flour | 3.38 | -1 | 51 | 17 | 3.38 | 560
Rice flour | 3.65 | -1 | 55 | 18.3 | 3.65 | 584
Chickpea flour | 3.87 | -1 | 58 | 19.3 | 3.87 | 640
Oat flour | 3.89 | -1 | 59 | 19.6 | 3.89 | 640
Tapioca flour | 3.58 | -1 | 54 | 18 | 3.58 | 600
Arrowroot flour | 3.06 | -1 | 46 | 15.3 | 3.06 | 490
Erythritol | 0.24 | -1 | 4 | 1.3 | 0.24 | 58
Xylitol | 2.4 | -1 | 36 | 12 | 2.4 | 576
Monk fruit sweetener | 0 | -1 | 0 | 0 | 0 | 0
Stevia (powdered) | 0 | -1 | 0 | 0 | 0 | 0
Duck egg | 1.77 | 130 | -1 | -1 | -1 | -1
Quail egg | 1.58 | 14 | -1 | -1 | -1 | -1
Buttermilk | 0.4 | -1 | 6 | 2 | 0.4 | 98
Kefir (whole) | 0.6 | -1 | 9 | 3 | 0.6 | 150
Goat cheese | 3.64 | -1 | 55 | 18.3 | 3.64 | 820
Paneer | 3.22 | 265 | -1 | -1 | -1 | -1
Duck (meat only, cooked) | 3.39 | 337 | -1 | -1 | -1 | -1
Venison (cooked) | 1.58 | 158 | -1 | -1 | -1 | -1
Bison (cooked) | 1.43 | 143 | -1 | -1 | -1 | -1
Goat (cooked) | 1.43 | 143 | -1 | -1 | -1 | -1
Rabbit (cooked) | 1.73 | 173 | -1 | -1 | -1 | -1
Palm oil | 8.84 | -1 | 119 | 40 | 8.84 | 1900
Grapeseed oil | 8.84 | -1 | 119 | 40 | 8.84 | 1900
Avocado oil | 8.84 | -1 | 119 | 40 | 8.84 | 1900
Sesame oil | 8.84 | -1 | 119 | 40 | 8.84 | 1900
Walnut oil | 8.84 | -1 | 119 | 40 | 8.84 | 1900
Poppy seeds | 5.24 | -1 | 79 | 26.3 | 5.24 | 840
Caraway seeds | 3.33 | -1 | 50 | 16.7 | 3.33 | 620
Fennel seeds | 3.45 | -1 | 52 | 17.3 | 3.45 | 680
Mustard seeds | 5.08 | -1 | 76 | 25.3 | 5.08 | 900
Coconut flakes (unsweetened) | 6.6 | -1 | 99 | 33 | 6.6 | 1250
Cocoa butter | 8.7 | -1 | 131 | 44 | 8.7 | 1900
Carob powder | 2.2 | -1 | 33 | 11 | 2.2 | 400
White chocolate | 5.4 | -1 | 81 | 27 | 5.4 | 1150
Milk chocolate | 5.3 | -1 | 79 | 26 | 5.3 | 1120
Dark chocolate (70-85%) | 5.95 | -1 | 89 | 30 | 5.95 | 1280
Green onion | 0.32 | -1 | 4.8 | 1.6 | 0.32 | 28
Leek | 0.61 | -1 | 9.15 | 3.05 | 0.61 | 100
Shallot | 0.72 | -1 | 10.8 | 3.6 | 0.72 | 116
Beet (cooked) | 0.44 | 35 | -1 | -1 | -1 | -1
Parsnip | 0.75 | 100 | -1 | -1 | -1 | -1
Turnip | 0.28 | 34 | -1 | -1 | -1 | -1
Radish | 0.16 | 1 | -1 | -1 | -1 | -1
Artichoke (boiled) | 0.47 | 60 | -1 | -1 | -1 | -1
Eggplant | 0.25 | 35 | -1 | -1 | -1 | -1
Okra (boiled) | 0.33 | 36 | -1 | -1 | -1 | -1
Cabbage (raw) | 0.25 | -1 | 3.8 | 1.3 | 0.25 | 22
Sauerkraut | 0.19 | -1 | 2.8 | 0.9 | 0.19 | 18
Pear | 0.57 | 100 | -1 | -1 | -1 | -1
Peach | 0.39 | 60 | -1 | -1 | -1 | -1
Nectarine | 0.44 | 62 | -1 | -1 | -1 | -1
Kiwi | 0.61 | 42 | -1 | -1 | -1 | -1
Papaya | 0.43 | 60 | -1 | -1 | -1 | -1
Cantaloupe | 0.34 | 53 | -1 | -1 | -1 | -1
Honeydew melon | 0.36 | 64 | -1 | -1 | -1 | -1
Scallops (cooked) | 1.1 | 95 | -1 | -1 | -1 | -1
Clams (cooked) | 0.86 | 126 | -1 | -1 | -1 | -1
Mussels (cooked) | 1.72 | 146 | -1 | -1 | -1 | -1
Crab (cooked) | 0.97 | 97 | -1 | -1 | -1 | -1
Lobster (cooked) | 0.89 | 89 | -1 | -1 | -1 | -1
Beef liver (cooked) | 1.75 | 175 | -1 | -1 | -1 | -1
Chicken liver (cooked) | 1.67 | 167 | -1 | -1 | -1 | -1
Turkey bacon | 3.2 | 35 | -1 | -1 | -1 | -1
Beef jerky | 3.3 | 116 | -1 | -1 | -1 | -1
Skim milk powder | 3.6 | -1 | 54 | 18 | 3.6 | 600
Whey protein powder | 4.0 | -1 | 60 | 20 | 4.0 | 640
Casein protein powder | 3.6 | -1 | 54 | 18 | 3.6 | 580
Soy protein isolate | 3.8 | -1 | 57 | 19 | 3.8 | 610
Pea protein powder | 3.9 | -1 | 59 | 19.7 | 3.9 | 620
Evaporated milk | 1.05 | -1 | 15.8 | 5.3 | 1.05 | 250
Condensed milk (sweetened) | 3.21 | -1 | 48 | 16 | 3.21 | 980
Creamer (powdered) | 5.0 | -1 | 75 | 25 | 5.0 | 850
Jelly (fruit spread) | 2.8 | -1 | 42 | 14 | 2.8 | 640
Jam | 2.5 | -1 | 38 | 13 | 2.5 | 600
Fruit preserves | 2.6 | -1 | 39 | 13 | 2.6 | 620
Gnocchi | 1.15 | -1 | 17.3 | 5.8 | 1.15 | 200
Tortellini (cheese, cooked) | 1.75 | -1 | 26 | 8.6 | 1.75 | 290
Lasagna noodles (cooked) | 1.3 | -1 | 19.5 | 6.5 | 1.3 | 240
Bread flour | 3.64 | -1 | 28 | 9.3 | 3.64 | 455
Cake flour | 3.64 | -1 | 28 | 9.3 | 3.64 | 455
Semolina flour | 3.6 | -1 | 54 | 18 | 3.6 | 600
Instant pudding mix | 3.6 | -1 | 54 | 18 | 3.6 | 600
Custard powder | 3.8 | -1 | 57 | 19 | 3.8 | 615
Marshmallow | 3.18 | 23 | -1 | -1 | -1 | -1
Graham crackers | 4.5 | 59 | -1 | -1 | -1 | -1
Rice paper | 3.3 | 60 | -1 | -1 | -1 | -1
Spring roll wrapper (fried) | 5.7 | 100 | -1 | -1 | -1 | -1
Nori (seaweed) | 2.9 | 10 | -1 | -1 | -1 | -1
Bouillon cube (chicken) | 2.5 | 13 | -1 | -1 | -1 | -1
Chicken broth (liquid) | 0.05 | -1 | 0.75 | 0.25 | 0.05 | 12
Beef broth (liquid) | 0.07 | -1 | 1.05 | 0.35 | 0.07 | 15
Vegetable broth (liquid) | 0.06 | -1 | 0.9 | 0.3 | 0.06 | 13
Beer | 0.43 | -1 | 6.45 | 2.15 | 0.43 | 103
Red wine | 0.85 | -1 | 12.8 | 4.3 | 0.85 | 204
White wine | 0.82 | -1 | 12.3 | 4.1 | 0.82 | 198
Rum | 2.31 | -1 | 34.6 | 11.5 | 2.31 | 560
Whiskey | 2.45 | -1 | 36.7 | 12.2 | 2.45 | 588
Vodka | 2.31 | -1 | 34.6 | 11.5 | 2.31 | 560
Hummus | 2.5 | -1 | 37 | 12.3 | 2.5 | 590
Tahini (sesame paste) | 5.9 | -1 | 89 | 30 | 5.9 | 1400
Guacamole | 1.6 | -1 | 24 | 8 | 1.6 | 380
Pesto sauce | 4.7 | -1 | 71 | 24 | 4.7 | 1020
Tzatziki | 0.9 | -1 | 13.5 | 4.5 | 0.9 | 210
Baba ghanoush | 1.3 | -1 | 20 | 6.7 | 1.3 | 280
Salsa (fresh) | 0.3 | -1 | 4.5 | 1.5 | 0.3 | 65
Tapenade (olive) | 3.9 | -1 | 58 | 19.3 | 3.9 | 900
Ranch dressing | 5.3 | -1 | 80 | 26.7 | 5.3 | 1150
Caesar dressing | 5.2 | -1 | 78 | 26 | 5.2 | 1100
Italian dressing | 5.0 | -1 | 75 | 25 | 5.0 | 1050
Blue cheese dressing | 4.9 | -1 | 74 | 24.7 | 4.9 | 1020
Thousand Island dressing | 4.5 | -1 | 68 | 22.7 | 4.5 | 950
French dressing | 4.4 | -1 | 66 | 22 | 4.4 | 940
Peanut sauce | 4.8 | -1 | 72 | 24 | 4.8 | 1080
Teriyaki sauce | 1.3 | -1 | 20 | 6.7 | 1.3 | 280
Hoisin sauce | 2.2 | -1 | 33 | 11 | 2.2 | 460
Sriracha | 1.1 | -1 | 17 | 5.7 | 1.1 | 240
Chili garlic sauce | 1.2 | -1 | 18 | 6 | 1.2 | 250
Gochujang | 2.3 | -1 | 35 | 11.7 | 2.3 | 490
Miso paste | 1.99 | -1 | 30 | 10 | 1.99 | 460
Ketchup (low sugar) | 0.67 | -1 | 10 | 3.3 | 0.67 | 145
Mayonnaise (light) | 3.5 | -1 | 52 | 17.3 | 3.5 | 800
Mustard (honey) | 1.2 | -1 | 18 | 6 | 1.2 | 270
Relish | 0.9 | -1 | 14 | 4.7 | 0.9 | 210
Nutella | 5.3 | -1 | 80 | 26.7 | 5.3 | 1120
Chocolate spread | 5.4 | -1 | 81 | 27 | 5.4 | 1140
Almond butter | 6.6 | -1 | 99 | 33 | 6.6 | 1440
Cashew butter | 5.6 | -1 | 84 | 28 | 5.6 | 1300
Sunflower seed butter | 6.0 | -1 | 90 | 30 | 6.0 | 1380
Coconut butter | 6.7 | -1 | 101 | 33.7 | 6.7 | 1440
Granola | 4.7 | -1 | 70 | 23.3 | 4.7 | 950
Muesli | 3.7 | -1 | 56 | 18.7 | 3.7 | 720
Cereal (corn flakes) | 3.6 | -1 | 54 | 18 | 3.6 | 640
Cereal (bran) | 2.9 | -1 | 44 | 14.7 | 2.9 | 520
Croutons | 4.2 | -1 | 63 | 21 | 4.2 | 960
Tortilla chips | 5.1 | -1 | 77 | 25.7 | 5.1 | 1050
Pita chips | 4.5 | -1 | 68 | 22.7 | 4.5 | 950
Popcorn (air-popped) | 3.9 | -1 | 58 | 19.3 | 3.9 | 780
Rice cakes | 3.8 | 35 | -1 | -1 | -1 | -1
Greek yogurt (plain) | 0.59 | -1 | 8.85 | 2.95 | 0.59 | 147
Coconut yogurt | 1.1 | -1 | 16.5 | 5.5 | 1.1 | 270
Almond yogurt | 0.9 | -1 | 13.5 | 4.5 | 0.9 | 210
Soy yogurt | 0.68 | -1 | 10.2 | 3.4 | 0.68 | 170
